GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.out.messaging,KafkaEventPublisher,0,30,0,0,0,5,0,3,0,3
gubee-stock-reconciliation,com.gubee.stockreconciliation.domain.model,Inconsistency,70,36,0,0,10,12,20,2,20,2
gubee-stock-reconciliation,com.gubee.stockreconciliation.domain.model,StockHistory,13,81,0,0,3,11,4,23,4,23
gubee-stock-reconciliation,com.gubee.stockreconciliation.domain.model,EventStatus,0,39,0,0,0,7,0,1,0,1
gubee-stock-reconciliation,com.gubee.stockreconciliation.domain.model,StockEvent,0,101,0,0,0,15,0,29,0,29
gubee-stock-reconciliation,com.gubee.stockreconciliation.domain.model,OrderStatus,0,15,0,0,0,3,0,1,0,1
gubee-stock-reconciliation,com.gubee.stockreconciliation.domain.model,Stock,19,45,0,0,1,12,5,9,5,9
gubee-stock-reconciliation,com.gubee.stockreconciliation.domain.model,EventType,0,33,0,0,0,6,0,1,0,1
gubee-stock-reconciliation,com.gubee.stockreconciliation.domain.model,Order,49,59,0,0,7,15,14,8,14,8
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.in.web.dto,StockResponse,0,15,0,0,0,1,0,1,0,1
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.in.web.dto,InconsistencyResponse,33,0,0,0,1,0,1,0,1,0
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.in.web.dto,StockEventResponse,0,33,0,0,0,1,0,1,0,1
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.in.web.dto,EventRequest,395,80,94,0,0,12,51,23,4,23
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.in.web.dto,StockHistoryEntryResponse,0,33,0,0,0,1,0,1,0,1
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.in.web.dto,EventResponse,0,19,0,0,0,2,0,2,0,2
gubee-stock-reconciliation,com.gubee.stockreconciliation.application.service,EventQueryService,32,42,0,0,6,7,2,3,2,3
gubee-stock-reconciliation,com.gubee.stockreconciliation.application.service,EventProcessingService.ProcessingResult,0,27,0,0,0,4,0,4,0,4
gubee-stock-reconciliation,com.gubee.stockreconciliation.application.service,EventProcessingService,8,780,0,23,2,173,0,29,0,16
gubee-stock-reconciliation,com.gubee.stockreconciliation.application.service,StockQueryService,6,70,0,0,0,13,1,4,1,4
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.config,KafkaConfig,0,12,0,0,0,5,0,2,0,2
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.config,OpenApiConfig,0,17,0,0,0,5,0,2,0,2
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.config,GlobalExceptionHandler,39,7,0,0,8,2,5,2,5,2
gubee-stock-reconciliation,com.gubee.stockreconciliation.domain.exception,StockNotFoundException,6,0,0,0,2,0,1,0,1,0
gubee-stock-reconciliation,com.gubee.stockreconciliation.domain.exception,DuplicateEventException,5,0,0,0,2,0,1,0,1,0
gubee-stock-reconciliation,com.gubee.stockreconciliation,StockReconciliationApplication,5,3,0,0,2,1,1,1,1,1
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.out.persistence,OrderPersistenceAdapter,0,20,0,0,0,3,0,3,0,3
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.out.persistence,StockPersistenceAdapter,0,24,0,0,0,4,0,4,0,4
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.out.persistence,InconsistencyPersistenceAdapter,4,12,0,0,1,2,1,2,1,2
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.out.persistence,StockEventPersistenceAdapter,5,32,0,0,1,5,1,5,1,5
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.out.persistence,StockHistoryPersistenceAdapter,0,18,0,0,0,3,0,3,0,3
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.in.web,InconsistencyController,4,6,0,0,1,1,1,1,1,1
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.in.web,EventController,1,39,1,4,0,10,1,6,0,3
gubee-stock-reconciliation,com.gubee.stockreconciliation.infrastructure.adapter.in.web,StockController,0,18,0,0,0,3,0,3,0,3
